,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,SQ,SQ,SQ,SQ,SQ,SQ,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2019-07-11,2025.6199951171875,2035.800048828125,1995.300048828125,2001.0699462890625,2001.0699462890625,4317800,78.44999694824219,79.95999908447266,78.43000030517578,79.44000244140625,79.44000244140625,7916400,50.82749938964844,51.09749984741211,50.4275016784668,50.4375,49.59315490722656,80767200
2019-07-12,2008.27001953125,2017.0,2003.8699951171875,2011.0,2011.0,2509300,80.05000305175781,82.66000366210938,79.7300033569336,82.27999877929688,82.27999877929688,13586300,50.61249923706055,51.0,50.54999923706055,50.82500076293945,49.97416305541992,70380800
2019-07-15,2021.4000244140625,2022.9000244140625,2001.550048828125,2020.989990234375,2020.989990234375,2981300,82.4800033569336,82.51000213623047,81.19999694824219,82.16999816894531,82.16999816894531,6428500,51.022499084472656,51.467498779296875,51.0,51.3025016784668,50.44367980957031,67789600
2019-07-16,2010.5799560546875,2026.3199462890625,2001.219970703125,2009.9000244140625,2009.9000244140625,2618200,81.80000305175781,81.80000305175781,80.30999755859375,80.58999633789062,80.58999633789062,5772000,51.147499084472656,51.52750015258789,50.875,51.125,50.269142150878906,67467200
2019-07-17,2007.050048828125,2012.0,1992.030029296875,1992.030029296875,1992.030029296875,2558800,80.20999908447266,82.16999816894531,80.19000244140625,80.87000274658203,80.87000274658203,6264000,51.01250076293945,51.272499084472656,50.817501068115234,50.837501525878906,49.9864616394043,56430000
2019-07-18,1980.010009765625,1987.5,1951.550048828125,1977.9000244140625,1977.9000244140625,3486900,80.87000274658203,82.13999938964844,80.22000122070312,81.05999755859375,81.05999755859375,6834600,51.0,51.470001220703125,50.92499923706055,51.415000915527344,50.554290771484375,74162400
2019-07-19,1991.2099609375,1996.0,1962.22998046875,1964.52001953125,1964.52001953125,3185600,81.61000061035156,81.69999694824219,78.41999816894531,78.51000213623047,78.51000213623047,6877500,51.4474983215332,51.625,50.59000015258789,50.647499084472656,49.79964065551758,83717200
2019-07-22,1971.1400146484375,1989.0,1958.260009765625,1985.6300048828125,1985.6300048828125,2900000,79.12999725341797,79.62999725341797,78.37999725341797,78.56999969482422,78.56999969482422,4001900,50.912498474121094,51.807498931884766,50.90250015258789,51.80500030517578,50.9377555847168,89111600
2019-07-23,1995.989990234375,1997.7900390625,1973.1300048828125,1994.489990234375,1994.489990234375,2703500,79.0,79.37000274658203,77.86100006103516,78.83999633789062,78.83999633789062,3624800,52.1150016784668,52.227500915527344,51.8224983215332,52.209999084472656,51.335975646972656,73420800
2019-07-24,1969.300048828125,2001.300048828125,1965.8699951171875,2000.81005859375,2000.81005859375,2631300,78.66999816894531,80.5,78.43000030517578,80.43000030517578,80.43000030517578,4751000,51.91749954223633,52.287498474121094,51.79249954223633,52.16749954223633,51.294189453125,59966400
2019-07-25,2001.0,2001.199951171875,1972.719970703125,1973.8199462890625,1973.8199462890625,4136500,80.1500015258789,81.08999633789062,79.12999725341797,80.0199966430664,80.0199966430664,6000400,52.22249984741211,52.310001373291016,51.682498931884766,51.755001068115234,50.88859939575195,55638400
2019-07-26,1942.0,1950.9000244140625,1924.510009765625,1943.050048828125,1943.050048828125,4927100,80.62999725341797,82.31999969482422,80.62999725341797,81.80999755859375,81.80999755859375,5668200,51.869998931884766,52.432498931884766,51.78499984741211,51.935001373291016,51.06558609008789,70475600
2019-07-29,1930.0,1932.22998046875,1890.5400390625,1912.449951171875,1912.449951171875,4493200,81.87999725341797,82.0,79.05999755859375,80.19999694824219,80.19999694824219,7211400,52.1150016784668,52.65999984741211,52.11000061035156,52.41999816894531,51.54246139526367,86693600
2019-07-30,1891.1199951171875,1909.8900146484375,1883.47998046875,1898.530029296875,1898.530029296875,2910900,80.2300033569336,81.19000244140625,79.37999725341797,80.48999786376953,80.48999786376953,5369300,52.189998626708984,52.540000915527344,51.82749938964844,52.19499969482422,51.321231842041016,135742800
2019-07-31,1898.1099853515625,1899.550048828125,1849.43994140625,1866.780029296875,1866.780029296875,4470700,81.16999816894531,81.94999694824219,79.01000213623047,80.41000366210938,80.41000366210938,7406900,54.10499954223633,55.342498779296875,52.82500076293945,53.2599983215332,52.3683967590332,277125600
2019-08-01,1871.719970703125,1897.9200439453125,1844.010009765625,1855.3199462890625,1855.3199462890625,4713300,81.0999984741211,83.19999694824219,80.0,80.9800033569336,80.9800033569336,16099700,53.474998474121094,54.50749969482422,51.685001373291016,52.10749816894531,51.235191345214844,216071600
2019-08-02,1845.0699462890625,1846.3599853515625,1808.02001953125,1823.239990234375,1823.239990234375,4956200,70.80000305175781,70.80999755859375,67.25,69.5999984741211,69.5999984741211,43722000,51.38249969482422,51.60749816894531,50.407501220703125,51.005001068115234,50.15115737915039,163448400
2019-08-05,1770.219970703125,1788.6700439453125,1748.780029296875,1765.1300048828125,1765.1300048828125,6058200,66.19999694824219,66.5,63.685001373291016,64.8499984741211,64.8499984741211,21651500,49.497501373291016,49.662498474121094,48.14500045776367,48.334999084472656,47.52585220336914,209572000
2019-08-06,1792.22998046875,1793.77001953125,1753.4000244140625,1787.8299560546875,1787.8299560546875,5070300,66.8499984741211,67.4000015258789,63.150001525878906,64.5999984741211,64.5999984741211,14970800,49.07749938964844,49.51750183105469,48.5099983215332,49.25,48.42552947998047,143299200
2019-08-07,1773.989990234375,1798.9300537109375,1757.0,1793.4000244140625,1793.4000244140625,4526900,63.18000030517578,65.26000213623047,62.849998474121094,65.0,65.0,9246500,48.852500915527344,49.88999938964844,48.45500183105469,49.7599983215332,48.92699432373047,133457600
2019-08-08,1806.0,1834.260009765625,1798.1099853515625,1832.8900146484375,1832.8900146484375,3701200,66.06999969482422,66.56999969482422,64.93000030517578,66.2699966430664,66.2699966430664,9461900,50.04999923706055,50.88249969482422,49.84749984741211,50.85749816894531,50.00612258911133,108038000
2019-08-09,1828.949951171875,1831.0899658203125,1802.219970703125,1807.5799560546875,1807.5799560546875,2879800,65.97000122070312,66.12000274658203,64.31999969482422,65.01000213623047,65.01000213623047,7216900,50.32500076293945,50.689998626708984,49.8224983215332,50.247501373291016,49.594051361083984,98478800
2019-08-12,1795.989990234375,1800.97998046875,1777.0,1784.9200439453125,1784.9200439453125,2905500,64.0199966430664,64.23699951171875,60.25199890136719,62.29999923706055,62.29999923706055,8516800,49.904998779296875,50.51250076293945,49.787498474121094,50.119998931884766,49.46820831298828,89927600
2019-08-13,1783.0,1831.739990234375,1780.0,1824.3399658203125,1824.3399658203125,3994000,62.0,63.5,61.52000045776367,63.0,63.0,11917600,50.255001068115234,53.03499984741211,50.119998931884766,52.24250030517578,51.563106536865234,188874000
2019-08-14,1793.010009765625,1795.6500244140625,1757.219970703125,1762.9599609375,1762.9599609375,4893600,61.849998474121094,62.349998474121094,60.470001220703125,61.54999923706055,61.54999923706055,8577900,50.790000915527344,51.61000061035156,50.647499084472656,50.6875,50.02832794189453,146189600
2019-08-15,1781.989990234375,1788.0,1761.9599609375,1776.1199951171875,1776.1199951171875,3759100,62.0099983215332,62.68000030517578,61.2400016784668,62.0,62.0,7080300,50.8650016784668,51.28499984741211,49.91749954223633,50.435001373291016,49.779109954833984,108909600
2019-08-16,1792.8900146484375,1802.9100341796875,1784.550048828125,1792.5699462890625,1792.5699462890625,3018000,62.61000061035156,63.209999084472656,62.130001068115234,62.869998931884766,62.869998931884766,5421400,51.06999969482422,51.790000915527344,50.959999084472656,51.625,50.953636169433594,110481600
2019-08-19,1818.0799560546875,1826.0,1812.6099853515625,1816.1199951171875,1816.1199951171875,2816300,64.0,64.43299865722656,63.20000076293945,64.08000183105469,64.08000183105469,6975800,52.654998779296875,53.182498931884766,52.50749969482422,52.587501525878906,51.90362548828125,97654400
